id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:5200203	Proprioceptive hallucination	هلوسة استقبالية	شعور غير واقعي بوضع الجسم	نوع من الهلوسات يشمل إدراكًا مشوهًا أو غير طبيعي للأحاسيس المتعلقة بوضعية الجسم أو حركته.
HP:5200204	Disturbed perception with a stimulus	اضطراب الإدراك مع وجود محفز	الإدراك المشوش مع محفز	تجربة إدراكية حيث يتم تحريف أو تعطيل إدراك الفرد للمحفزات الحسية بطريقة معينة، مما يؤدي إلى إدراك حسي غير طبيعي أو مشوه رغم وجود محفزات خارجية فعلية.
HP:5200205	Illusions	التهيئات	تشوهات في الإدراك	تجارب إدراكية تتضمن تفسيرات خاطئة أو تشوهات للمحفزات الحسية.
HP:5200207	Inattentiveness illusion	تهيئة عدم الانتباه	عدم ملاحظة أشياء واضحة	حالات يفشل فيها الأفراد في إدراك أو ملاحظة محفزات بارزة أو هامة في مجال رؤيتهم بسبب نقص في الانتباه.
HP:5200208	Illusions due to affect	تهيئات بسبب الوجدان	تشوهات إدراكية بسبب المشاعر	التشوهات أو التفسيرات الخاطئة للمعلومات الحسية التي تنشأ نتيجة لحالة الفرد العاطفية أو الوجدانية.
HP:5200209	Pareidolia	الباريدوليا	رؤية أنماط في الأشياء الغير واضحة	هي ظاهرة نفسية حيث يقوم الأفراد بإدراك أنماط مألوفة أو صور ذات معنى في محفزات عشوائية أو غامضة، مثل السحب أو الظلال أو الأشياء غير الحية.
HP:5200210	Autoscopy	التصوير الذاتي	رؤية النفس من الخارج	ظاهرة يُدرك فيها الفرد نفسه من منظور خارجي، كما لو أنه يراقب جسمه أو ذاته من موقع خارج جسمه الفيزيائي.
HP:5200211	Subjective eidetic images	صور ذاتية لاتينية	ذاكرة تصويرية	ظاهرة عقلية حيث يكون الفرد قادرًا على تصور أو استرجاع المعلومات البصرية من الذاكرة بتفاصيل ودقة استثنائية. هذه الصور تُختبر بشكل ذاتي من قبل الفرد، مما يعني أنها ليست موجودة فعليًا أو مرئية للآخرين.
HP:5200212	Amplification of social interactions	تضخيم التفاعلات الاجتماعية	زيادة في النشاط الاجتماعي	زيادة في ميل الشخص للبحث أو الحفاظ على العلاقات الاجتماعية أو التفاعلات مع الآخرين مقارنة بالمعايير السابقة للفرد.
HP:0035005	Reduced hepatic alanine-glyoxylate aminotransferase activity	نشاط ناقل الأمين الألانين-غلايوكسيليت الكبدي المنخفض	انخفاض نشاط إنزيم في الكبد	نشاط إنزيم ناقل الأمين الألانين-غلايوكسيليت في الكبد أقل من الحد الأدنى الطبيعي.
HP:0035006	Hepatic sinusoidal dilatation	توسع جيبي كبدي	زيادة الدم في الشعيرات الدموية الكبدية	وجود كمية زائدة من الدم في الشعيرات الدموية الكبدية.
HP:0035007	Thin spermatozoon midpiece	شذوذ في الجزء الأوسط الرفيع للحيوان المنوي	رقبة حيوان منوي رفيعة	حجم المقطع العرضي (القطر) للجزء الأوسط من الحيوان المنوي أقل من الحد الأدنى الطبيعي. ينطبق هذا المصطلح إذا كانت نسبة الحيوانات المنوية ذات هذا العيب أعلى من الحد الأعلى الطبيعي.
HP:0035008	Thick spermatozoon midpiece insertion	شذوذ في إدخال الجزء الأوسط السميك للحيوان المنوي	جزء أوسط سميك في الحيوان المنوي	زيادة في عرض الجزء الأوسط للحيوان المنوي. الجزء الأوسط هو البنية الواقعة بين الرأس والسوط (الذيل) للحيوان المنوي. ينطبق هذا المصطلح إذا زاد عرض الجزء الأوسط تدريجياً من السوط إلى الرأس وإذا كانت نسبة الحيوانات المنوية الفردية ذات هذا الخلل أعلى من الحد الأعلى الطبيعي.
HP:0035009	Shoulder adduction contracture	تقلص التقريب للكتف	عدم القدرة على تحريك الكتف بعيدًا عن الجسم	نوع من تقلص الكتف يتميز بتقليل مزمن في القدرة الفعالة والسلبية على تمديد الكتف. يؤدي ذلك إلى اقتراب الكتفين من خط الوسط، وعدم قدرة الفرد المصاب على وضع الكتفين بعيدًا عن الجسم.
HP:0035010	Occupational exposure history	تاريخ التعرض المهني	تعرض للعمل	التعرض لمادة ينتج عن أداء واجبات الموظف.
HP:0035011	Occupational silver exposure	التعرض للفضة في العمل	التعرض للفضة بسبب العمل	تاريخ من التعرض للفضة الذي حدث فيما يتعلق بأداء واجبات العمل.
HP:0035012	Abnormal femoral artery morphology	شذوذ في شكل الشريان الفخذي	تغيير في شكل الشريان الفخذي	أي شذوذ هيكلي في الشريان الفخذي، وهو وعاء دموي كبير يوفر الأكسجين للجزء السفلي من الجسم وجزء من الجدار البطني الأمامي السفلي.
HP:0035013	Abnormal extrahepatic bile duct morphology	شذوذ في مورفولوجيا القناة الصفراوية الخارجية الكبد	تغيير في شكل القناة الصفراوية خارج الكبد	أي شذوذ في الشكل والتركيب للقنوات الصفراوية الخارجية للكبد.
HP:0035014	Extrahepatic bile duct fibrosis	تليف القناة الصفراوية الخارجية للكبد	تليف القناة الصفراوية خارج الكبد	تراكم الأنسجة الضامة الليفية (الكولاجين) في القنوات الصفراوية خارج الكبد.
HP:0034995	Reduced tissue fructose-1,6-bisphosphatase activity	خلل نشاط فركتوز-1،6-بيسفوسفاتاز في الأنسجة	نشاط منخفض لفركتوز-1،6-بيسفوسفاتاز في الأنسجة	نشاط فركتوز-1،6-بيسفوسفاتاز (EC 3.1.3.11) أقل من الحد الأدنى الطبيعي. يمكن قياس النشاط في أنسجة متعددة بما في ذلك الكبد والكريات البيضاء.
HP:0034996	Reduced hepatic carbamoylphosphate synthetase 1 activity	خلل نشاط كربامويل فوسفات سينثاز 1 في الكبد	نشاط منخفض لكربامويل فوسفات سينثاز 1 في الكبد	نشاط كربامويل فوسفات سينثاز 1 في الكبد أقل من الحد الأدنى الطبيعي.
HP:0034997	Reduced intraepidermal small nerve fiber density	شذوذ كثافة الألياف العصبية الصغيرة داخل البشرة	انخفاض كثافة الألياف العصبية في الجلد	انخفاض عدد الألياف العصبية الصغيرة في الجلد.
HP:0034998	Femoral artery duplication	ازدواجية الشريان الفخذي	وجود شريان فخذي إضافي	عيب تطوري يتميز بوجود شريان فخذي زائد.
HP:0034999	Intracellular accumulation of collagen VII	تراكم داخل خلوي للكولاجين VII	تراكم الكولاجين VII داخل الخلايا	الكولاجين VII هو المكون الجزيئي الرئيسي للألياف المراسية في الجلد. يتم تصنيع الكولاجين VII كقرىّ بولي ببتيد برو-ألفا1(VII) متطابقة، والتي يتم هيدروكسيلتها وجليكوسيلتها بشكل منسق ثم تطوى لتشكل كولاجين VII بروكوفلي ثلاثي الخلقة في الشبكة الإندوبلازمية (ER). يخضع الكولاجين VII الناضج لعملية بلمرة ليفية متعددة الخطوات لتشكيل الألياف المراسية. لا تمر سلاسل البرو-ألفا1(VII) المتحولة أو جزيئات الكولاجين VII بروكوفلي من خلال التحكم في الجودة بالـER وتُحتجز في الـER أو تُخصص للتحلل بواسطة اليوبكويتين-بروتوسوم مما يؤدي إلى تقليل كميات الكولاجين VII في الجلد.
HP:0035000	Reduced reticular lamina anchoring fibril density	شذوذ كثافة الألياف المراسية في الصفيحة الشبكية	انخفاض كثافة الألياف المرساة في الجلد	انخفاض كمية الألياف المراسية في منطقة الغشاء القاعدي التي تربط طبيعيًا الظهارة بالغشاء القاعدي.
HP:0035001	Reduced lamina lucida anchoring filament density	شذوذ كثافة الخيوط المرسية في الصفيحة الشفافة	انخفاض كثافة الخيوط المرساة في الجلد	انخفاض كمية الخيوط المرسية التي تربط عادة الصفيحة الشفافة وتندمج في الصفيحة الكثيفة في منطقة الغشاء القاعدي الجلدي.
HP:0035002	Reduced epidermal keratin 5 protein expression	خلل تعبير بروتين الكيراتين 5 في البشرة	انخفاض تعبير الكيراتين 5 في الجلد	كمية الكيراتين 5 في البشرة أقل من الحد الأدنى الطبيعي. يتم عادة اكتشاف هذا الفحص بواسطة مجهر التألق المناعي.
HP:0035003	Reduced epidermal keratin 14 protein expression	خلل تعبير بروتين الكيراتين 14 في البشرة	انخفاض تعبير الكيراتين 14 في الجلد	كمية الكيراتين 14 في البشرة أقل من الحد الأدنى الطبيعي. يتم عادة اكتشاف هذا الفحص بواسطة مجهر التألق المناعي.
HP:0035004	Reduced epidermal keratin protein expression	خلل تعبير بروتين الكيراتين في البشرة	انخفاض تعبير الكيراتين في الجلد	كمية واحد أو أكثر من الكيراتينات في البشرة أقل من الحد الأدنى الطبيعي. يتم عادة اكتشاف هذا الفحص بواسطة مجهر التألق المناعي.
HP:0011076	Abnormality of premolar	شذوذ في الطواحن الصغيرة	شذوذ في الأسنان الضاحكة	الشذوذ في أسنان الطواحن الصغيرة.
HP:0011077	Abnormality of molar	شذوذ في الأضراس	شذوذ في الأسنان الطاحنة	الشذوذ في أسنان الأضراس.
HP:0011078	Abnormality of canine	شذوذ في الأنياب	شذوذ في الأسنان الناب	الشذوذ في أسنان الأنياب.
HP:0011079	Impacted tooth	الأسنان المطمورة	الأسنان المطمورة	السن الذي لم يبزغ بسبب عوائق محلية كالاكتظاظ أو النمو الليفي للثة.
HP:0011080	Abnormal premolar morphology	شذوذ في شكل الطواحن الصغيرة	شذوذ في شكل الأسنان الضاحكة	الشذوذ في شكل أسنان الطواحن الصغيرة.
HP:0011081	Incisor macrodontia	تضخم القاطعة	زيادة حجم القاطعة	زيادة حجم السن القاطع.
HP:0011082	Conical primary incisor	قواطع لبنية مخروطية	أسنان أمامية لبنية مخروطية	الشذوذ في الشكل المخروطي للقواطع اللبنية.
HP:0011083	Conical maxillary incisor	قواطع علوية مخروطية	أسنان أمامية علوية مخروطية	الشذوذ في الشكل المخروطي لأحد القواطع العلوية الدائمة أو اللبنية أو كلاهما.
HP:0011084	Hypocalcification of dental enamel	نقص التكلس لمينا الأسنان	نقص التكلس في مينا الأسنان	شكل من نقص المعادن في مينا الأسنان يتميز بتقليل التكلس.
HP:0011085	Hypomature dental enamel	نضوج غير كامل لمينا الأسنان	أسنان لينة	شكل من نقص المعادن لمينا الأسنان يتميز بمظهر الطباشيري للمينا بألوان برتقالية أو بنية أو بيضاء.
HP:5200216	Abnormal perceptual state	اضطراب الحالة الإدراكية	تغير في الشعور	تغير مؤقت في الوعي بالواقع أو إدراك الذات.
HP:5200243	Abnormal change in social behavior	اضطراب في السلوك الاجتماعي	تغير في التصرف الاجتماعي	تغير في العادات والميول العاطفية للفرد مع تغيير في السلوك الذي يلاحظه عادة أفراد الأسرة أو الأقران.
HP:5200261	Abnormal demeanor	اضطراب في السلوك الخارجي	تصرف غير عادي	خلل في السلوك الخارجي، الذي يشير إلى السلوك الظاهر أو الطريقة التي يظهر بها الشخص أمام الآخرين فيما يتعلق بالاتجاه، والوضع، والسلوك العام.
HP:5200263	Abnormally increased volition	زيادة غير طبيعية في الإرادة	زيادة الإرادة والنشاط	زيادة مفرطة في السلوكيات المدفوعة بالهدف وغير المدفوعة بالهدف وكذلك الطاقة والاهتمام العالي الذي يسمح للأفراد بالبدء، والنشاط لتنفيذ عمل مستمر وموجه. غالباً ما تكون الزيادة مدمرة وتؤدي عادةً إلى نتائج غير مفضلة.
HP:5200293	Sleep-wake transition abnormality	خلل في انتقال بين النوم واليقظة	اضطراب في الانتقال بين النوم واليقظة	هو اضطراب للنوم يحدث مع الوعي والتذكر خلال الانتقال بين حالات النوم واليقظة.
HP:6001456	Abnormal deltoid muscle morphology	شذوذ في مورفولوجيا عضلة الدلتوئيد	تغير في شكل عضلة الكتف	أي شذوذ هيكلي في عضلة الدلتوئيد، وهي العضلة الكبيرة المثلثة في الكتف، التي تشبه شكل الحرف الإغريقي دلتا بالمقلوب.
HP:0033381	Elevated circulating stearoylcarnitine concentration	زيادة تركيز الستيارويلكارنيتين في الدورة الدموية	زيادة في مادة معينة في الدم	زيادة غير طبيعية في تركيز O-ستيارويلكارنيتين في الدورة الدموية.
HP:0033382	Elevated circulating palmitoylcarnitine concentration	زيادة تركيز البالميتويلكارنيتين في الدورة الدموية	زيادة في مادة معينة في الدم	زيادة غير طبيعية في تركيز بالميتويلكارنيتين في الدورة الدموية.
HP:0033383	Decreased compound muscle action potential amplitude	انخفاض في سعة الجهد الكهربائي العضلي المركب	انخفاض النشاط الكهربائي للعضلات	انخفاض مستوى الجهد الكهربائي العضلي المركب (CMAP)، والذي يسجل بعد التحفيز الكهربائي لعصب من أقطاب سطحية على العضلة المتصلة بهذا العصب.
HP:0033384	Elevated urinary collagen degradation products	زيادة منتجات تحلل الكولاجين في البول	زيادة نواتج تكسير الكولاجين في البول	زيادة مستوى نواتج الأيض التي تنتج من تحلل الكولاجين في البول، مثل جزيء من الكولاجين الذي تنتجه إنزيمات مثل الكولاجيناز أو إنزيمات البروتياز السيرينية.
HP:0035015	Elevated circulating short-chain acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين سلسلة قصيرة	ارتفاع مستوى أسيل كارنيتين سلسلة قصيرة في الدم	تركيز أسيل كارنيتين السلسلة القصيرة في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. تصنف الأسيل كارنيتينات بناءً على عدد ذرات الكربون في سلسلة الأسيل. الأسيل كارنيتينات السلسلة القصيرة تحتوي على ما بين اثنتين وخمس ذرات كربون في سلسلة الأسيل (C2-C5).
HP:0035016	Elevated circulating C4 acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين C4	ارتفاع مستوى أسيل كارنيتين C4 في الدم	تركيز أسيل كارنيتين C4 في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. يحتوي أسيل كارنيتين C4 على سلسلة كربون بتألف من أربع ذرات.
HP:0035017	Elevated circulating medium-chain acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين سلسلة متوسطة	ارتفاع مستوى أسيل كارنيتين سلسلة متوسطة في الدم	تركيز أسيل كارنيتين السلسلة المتوسطة في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. تصنف الأسيل كارنيتينات بناءً على عدد ذرات الكربون في سلسلة الأسيل. الأسيل كارنيتينات السلسلة المتوسطة تحتوي على ما بين ست واثنتي عشرة ذرة كربون في سلسلة الأسيل (C6-C12).
HP:0035018	Elevated circulating long-chain acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين سلسلة طويلة	ارتفاع مستوى أسيل كارنيتين سلسلة طويلة في الدم	تركيز أسيل كارنيتين السلسلة الطويلة في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. تصنف الأسيل كارنيتينات بناءً على عدد ذرات الكربون في سلسلة الأسيل. الأسيل كارنيتينات السلسلة الطويلة تحتوي على ما بين ثلاث عشرة وعشرين ذرة كربون في سلسلة الأسيل (C13-C20).
HP:0035019	Elevated circulating C5 acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين C5	ارتفاع مستوى أسيل كارنيتين C5 في الدم	تركيز أسيل كارنيتين C5 في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. يحتوي أسيل كارنيتين C5 على سلسلة كربون بتألف من خمس ذرات.
HP:0035020	Elevated circulating C18 acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين C18	ارتفاع مستوى أسيل كارنيتين C18 في الدم	تركيز أسيل كارنيتين C18 في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. يحتوي أسيل كارنيتين C18 على سلسلة كربون بتألف من ثمانية عشر ذرة.
HP:0035021	Elevated circulating C16 acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين C16	ارتفاع مستوى أسيل كارنيتين C16 في الدم	تركيز أسيل كارنيتين C16 في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. يحتوي أسيل كارنيتين C16 على سلسلة كربون بتألف من ستة عشر ذرة.
HP:0035022	Elevated circulating very long-chain acylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيل كارنيتين سلسلة طويلة جدًا	ارتفاع مستوى أسيل كارنيتين سلسلة طويلة جدًا في الدم	تركيز أسيل كارنيتين السلسلة الطويلة جدًا في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. تصنف الأسيل كارنيتينات بناءً على عدد ذرات الكربون في سلسلة الأسيل. الأسيل كارنيتينات السلسلة الطويلة جدًا تحتوي على واحد وعشرين ذرة كربون أو أكثر في سلسلة الأسيل (C21 وما فوق).
HP:0035023	Elevated circulating acetylcarnitine concentration	تركيز مرتفع للدورة الدموية من أسيتيل كارنيتين	ارتفاع مستوى أسيتيل كارنيتين في الدم	تركيز أسيتيل كارنيتين (أسيل كارنيتين C2) في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي. يحتوي أسيتيل كارنيتين على سلسلة كربون بتألف من ذرتين.
HP:0035024	Elevated circulating methylmalonylcarnitine concentration	تركيز مرتفع للدورة الدموية من ميثيل مالونيل كارنيتين	ارتفاع مستوى ميثيل مالونيل كارنيتين في الدم	تركيز ميثيل مالونيل كارنيتين في الدورة الدموية يكون أعلى من الحد الأعلى الطبيعي.
HP:0033385	Elevated urine pyridinoline level	مستوى البيريدينولين المرتفع في البول	زيادة في مادة البيريدينولين في البول	زيادة في كمية البيريدينولين في البول.
HP:0033386	Abnormal circulating collagen degradation product concentration	خلل في تركيز منتجات انهيار الكولاجين المتداولة	خلل في مستوى تكسير الكولاجين في الدم	خلل في تركيز الأيضات المنتشرة في الدم الناتجة عن تكسير الكولاجين، مثل أجزاء من الكولاجين التي نتجت بواسطة الكولاجيناز أو سيرين بروتياز.
HP:0033387	Elevated circulating pyridinoline concentration	مستوى البيريدينولين المرتفع في الدورة الدموية	زيادة في مستوى البيريدينولين في الدم	زيادة في تركيز الهيدروكسي ليسيل-بيريدينولين (البيريدينولين) في الدورة الدموية.
HP:0033388	Abnormal bronchial artery morphology	شذوذ في شكل الشريان القصبي	تغير في شكل الشريان القصبي	أي شذوذ هيكلي في الشريان القصبي.
HP:0033389	Bronchopulmonary anastomosis	التوصيل الشرياني القصبي الرئوي	اتصال غير طبيعي بين الشرايين القصبية والرئوية	توصيل شرياني غير طبيعي بين الشرايين القصبية والرئوية.
HP:0033390	Bronchial artery dilatation	توسع الشريان القصبي	زيادة في حجم الشريان القصبي	زيادة في قطر الشريان القصبي حيث يمكن تعريف الشريان القصبي الذي يتجاوز قطره 2 ملم.
HP:0033391	Bronchial artery hypertrophy	تضخم الشريان الرئوي	زيادة في حجم الشريان الرئوي	زيادة في حجم جدار الشريان الشعبوي نتيجة لتضخم خلاياه المكونة.
HP:0033392	Perivascular pre-capillary pulmonary artery inflammation	التهاب حول الأوعية الدموية في الشرايين الرئوية القبلية الصغيرة	التهاب حول الشرايين الصغيرة في الرئة	تسلل الخلايا الالتهابية حول الشرايين الرئوية القبلية الصغيرة (الشرايين الصغيرة؛ 20-70 ميكرومتر).
HP:0033393	Irregularly shaped sperm tail	ذيل الحيوان المنوي غير منتظم الشكل	شكل غريب لذيل الحيوان المنوي	عدم انتظام أو تغير في قطر (العرض) على طول ذيل الحيوان المنوي.
HP:0033394	Anti-carbonic anhydrase II antibody positivity	إيجابية الأجسام المضادة لأنزيم الكربونيك أنهيدراز II	وجود أجسام مضادة ضد إنزيم الكربونيك أنهيدراز II	وجود الأجسام المضادة الذاتية (الغلوبولين المناعي) في المصل التي تتفاعل ضد أنزيم الكربونيك أنهيدراز II.
HP:0035025	Elevated circulating 3-hydroxyhexadecanoylcarnitine concentration	ارتفاع تركيز 3-هيدروكسي هيكساديكانويل كارنيتين في الدورة الدموية	زيادة مستوى الكارنيتين في الدم	تركيز 3-هيدروكسي هيكساديكانويل كارنيتين في الدورة الدموية أعلى من الحد الأعلى الطبيعي.
HP:0035026	Elevated circulating C6 acylcarnitine concentration	ارتفاع تركيز C6 كارنيتين في الدورة الدموية	زيادة مستوى الكارنيتين في الدم	تركيز C6 كارنيتين في الدورة الدموية أعلى من الحد الأعلى الطبيعي. يمتلك C6 سلاسل ألكيل تتكون من ستة كربونات.
HP:0035027	Elevated circulating methylglutarylcarnitine concentration	ارتفاع تركيز ميثيل غلوتاريل كارنيتين في الدورة الدموية	زيادة مستوى الكارنيتين في الدم	تركيز ميثيل غلوتاريل كارنيتين في الدورة الدموية أعلى من الحد الأعلى الطبيعي.
HP:0035028	Elevated circulating 3-hydroxyisovalerylcarnitine concentration	ارتفاع تركيز 3-هيدروكسي إيزوفاليريل كارنيتين في الدورة الدموية	زيادة مستوى الكارنيتين في الدم	تركيز 3-هيدروكسي إيزوفاليريل كارنيتين في الدورة الدموية أعلى من الحد الأعلى الطبيعي.
HP:0035029	Elevated circulating 3-hydroxyhexanoylcarnitine concentration	ارتفاع تركيز 3-هيدروكسي هيكسانويل كارنيتين في الدورة الدموية	زيادة مستوى الكارنيتين في الدم	تركيز 3-هيدروكسي هيكسانويل كارنيتين (C6-OH) في الدورة الدموية أعلى من الحد الأعلى الطبيعي.
HP:0035031	Elevated circulating tiglylcarnitine concentration	ارتفاع تركيز تيغليل كارنيتين في الدورة الدموية	زيادة مستوى الكارنيتين في الدم	تركيز تيغليل كارنيتين (C5:1) في الدورة الدموية أعلى من الحد الأعلى الطبيعي.
HP:0035032	Reduced circulating acetylcarnitine concentration	انخفاض تركيز أسيتي الكارنيتين في الدورة الدموية	نقصان مستوى الكارنيتين في الدم	تركيز أسيتي الكارنيتين (C2 كارنيتين) في الدورة الدموية أقل من الحد الأدنى الطبيعي. يمتلك أسيتي الكارنيتين سلسلة ألكيل مكونة من كربونتين.
HP:0035033	Reduced circulating octadecenoylcarnitine concentration	انخفاض تركيز أوكتاديسينوي كارنيتين في الدورة الدموية	نقصان مستوى الكارنيتين في الدم	تركيز أوكتاديسينوي كارنيتين (C18:1 كارنيتين) في الدورة الدموية أقل من الحد الأدنى الطبيعي.
HP:0040004	Abnormality of corneal shape	شذوذ شكل القرنية	الشذوذ في شكل القرنية	شذوذ في شكل القرنية، وهو يؤثر على المظهر وهيكل سطح العين الشفاف الأمامي.
HP:0040006	Mortality/Aging	الوفاة/الشيخوخة	الموت أو الشيخوخة	يشير إلى النمط السريري المتعلق بالوفاة أو عملية الشيخوخة.
HP:0011086	Dentinogenesis imperfecta of primary and permanent teeth	نقص تصنع العاج في الأسنان اللبنية والدائمة	خلل في تكوين العاج للأسنان	خلل تنموي في تكوين العاج في كل من الأسنان اللبنية والدائمة.
HP:0011091	Gemination	التوأمة	انقسام تاج السن	تطور سني مزدوج من براعم سن واحد، وينتج عنه سن أكبر ومندمج.
HP:0011092	Mulberry molar	الضرس العليق	الضرس العليق	الأضراس العليقية هي أسنان غير منتظمة، تؤثر عامةً على الأضراس الأولى وتتميز بتشوه كبير في التاج يشبه كما يوحي الاسم، سطح العليق.
HP:0011095	Overjet	الإطباق الزائد	بروز الأسنان العلوية	امتداد أمامي خلفي غير طبيعي للأسنان العلوية على مستوى الأسنان السفلية عند إغلاق الفك.
HP:0011100	Intestinal atresia	رتق في الأمعاء	انسداد الأمعاء	إغلاق غير طبيعي أو رتق في البنية الأنبوبية للأمعاء.
HP:0011102	Ileal atresia	رتق في اللفائفي	انسداد اللفائفي	إغلاق غير طبيعي أو رتق في البنية الأنبوبية للفتحة اللفائفية.
HP:0011103	Abnormal left ventricular outflow tract morphology	شذوذ في شكل مخرج البطين الأيسر	تشوه في مخرج البطين الأيسر	شذوذ في مخرج البطين الأيسر.
HP:0011104	Abnormality of blood volume homeostasis	خلل في توازن حجم الدم	عدم استقرار حجم الدم	خلل في مقدار الحيز الذي تشغله الدم داخل الأوعية.
HP:0011106	Hypovolemia	نقص حجم الدم	انخفاض حجم الدم	انخفاض في كمية السوائل داخل الأوعية، وخاصةً في حجم الدم الجاري.
HP:0011107	Recurrent aphthous stomatitis	التهاب الفم القلاعي المتكرر	قروح الفم المتكررة	نوبات متكررة من التقرحات في الغشاء المخاطي للفم، وعادةً ما تظهر كتقرحات مؤلمة ومحاطة بحدود محمرة مغطاة بفبرين.
HP:0011110	Recurrent tonsillitis	التهاب اللوزتين المتكرر	التهاب متكرر في اللوزتين	التهاب يصيب اللوزتين بشكل متكرر. قد تختلف معايير تعريف التكرر قليلاً، ولكن المعايير المستخدمة مؤخراً لقياس الشدة تتضمن خمس أو أكثر من نوبات التهاب اللوزتين الحقيقي في السنة، مع تكرار الأعراض لمدة لا تقل عن سنة، ونوبات تعيق القدرة على الأداء الوظيفي الطبيعي. في بعض الحالات، قد يرتبط التهاب اللوزتين المتكرر بزيادة القابلية المناعية. توجد أدلة على وجود استعداد جيني لالتهاب اللوزتين المتكرر.
HP:0011111	Abnormal immune serum protein physiology	خلل في فيزيولوجيا بروتينات المصل المناعية	خلل في مستوى أو وظيفة بروتينات المناعة في الدم	خلل في تركيز أو وظيفة البروتينات المناعية المتداولة في الدم.
HP:0011112	Abnormal circulating cytokine concentration	خلل في تركيز السيتوكينات في الدم	خلل في مستوى السيتوكينات في الدم	خلل في مستويات السيتوكينات في الدم، وهي بروتينات غير مضادة تنتجها الخلايا البيضاء الالتهابية وبعض الخلايا غير البيضاء، وتؤثر على سلوك الخلايا الأخرى.
HP:0011113	Abnormality of cytokine secretion	خلل في إفراز السيتوكينات	خلل في إنتاج وإفراز السيتوكينات	خلل في إنتاج أو إفراز الخلايا للسيتوكينات (أي البروتينات غير المضادة التي تصنعها الخلايا البيضاء الالتهابية وبعض الخلايا غير البيضاء، والتي تؤثر على سلوك الخلايا الأخرى).
HP:0011114	Defective production of NFKB1-dependent cytokines	خلل في إنتاج السيتوكينات التابعة لNFKB1	خلل في إنتاج أنواع معينة من السيتوكينات	قصور في إنتاج الخلايا البيضاء للسيتوكينات التابعة لNFKB1 مثل عامل النخر الورمي ألفا و الإنترفيرون ألفا.
HP:0011115	Abnormal circulating chemokine concentration	خلل في تركيز الكيموكينات في الدم	خلل في مستوى الكيموكينات في الدم	خلل في إنتاج أو إفراز الخلايا للكيموكينات، وهي فئة من السيتوكينات.
HP:0011116	Abnormal circulating interferon concentration	خلل في تركيز الإنترفيرون في الدم	خلل في مستوى الإنترفيرون في الدم	تكون نسبة الإنترفيرون في الدم خارج حدودها الطبيعية.
HP:0011117	Abnormal circulating interleukin concentration	خلل في تركيز الإنترلوكين في الدم	خلل في مستوى الإنترلوكين في الدم	تكون نسبة الإنترلوكين (فئة من السيتوكينات) في الدم خارج حدودها الطبيعية.
HP:0011118	Abnormality of tumor necrosis factor secretion	خلل في إفراز عامل نخر الورم	خلل في إنتاج عامل نخر الورم	خلل في إنتاج أو إفراز عامل نخر الورم من الخلايا.
HP:0011119	Abnormal nasal dorsum morphology	شذوذ في شكل الظهر الأنفي	تغير في شكل الأنف	شذوذ في شكل ظهر الأنف، المعروف أيضًا بالجسر الأنفي.
HP:0011121	Abnormal skin morphology	شذوذ شكل الجلد	شذوذ في بنية الجلد	أي شذوذ شكلي في الجلد.
HP:0011122	Abnormality of skin physiology	خلل فسيولوجية الجلد	خلل في وظيفة الجلد	أي خلل في الوظيفة الفسيولوجية للجلد.
HP:0011123	Inflammatory abnormality of the skin	خلل التهابي في الجلد	التهاب في الجلد	وجود التهاب في الجلد، أي شذوذ في الجلد ناتج عن تجمع موضعي للسائل والبروتينات البلازمية والخلايا البيضاء.
HP:0011124	Abnormal epidermal morphology	شذوذ شكل البشرة	شذوذ في شكل البشرة	شذوذ في شكل البشرة.
HP:0011125	Abnormality of dermal melanosomes	شذوذ الملانوسومات في الجلد	شذوذ في خلايا صبغة الجلد	شذوذ في الملانوسومات، أي العضيات الخلوية حيث يتم تصنيع وتخزين أصباغ الميلانين داخل الخلايا الميلانية (الخلايا التي تنتج الصبغة في الأدمة).
HP:0011127	Perioral eczema	إكزيما حول الفم	إكزيما حول الفم	نوع من الإكزيما يظهر في الشفاه والمنطقة المحيطة بالفم.
